N,replicate,model,strict_mean,soft_mean
2000,1,Llama-3.2-1B,0.3165,0.5736182
2000,1,Llama-3.2-3B,0.508,0.7463883
2000,1,Qwen2.5-0.5B,0.1695,0.40238035
2000,1,Qwen2.5-1.5B,0.338,0.5884834
2000,1,Qwen2.5-3B,0.491,0.7331331
2000,1,Qwen2.5-7B,0.611,0.81718254
2000,1,deepseek-v3,0.7635,0.9148604
2000,1,gemma-2-2b,0.5035,0.7425691
2000,1,gemma-2-9b,0.5885,0.7978563
2000,1,llama3.1-405b,0.686,0.85969424
2000,1,llama3.3-70b,0.7185,0.88767177
2000,1,mistral-large,0.712,0.8869723
2000,1,qwen2.5-72b,0.648,0.82482564
2000,2,Llama-3.1-8B,0.5975,0.8077225
2000,2,Llama-3.2-1B,0.3165,0.5744409
2000,2,Llama-3.2-3B,0.5265,0.7640644
2000,2,Qwen2.5-0.5B,0.167,0.40034115
2000,2,Qwen2.5-1.5B,0.342,0.59843415
2000,2,Qwen2.5-3B,0.5085,0.743443
2000,2,Qwen2.5-7B,0.6195,0.8205409
2000,2,deepseek-v3,0.777,0.91982746
2000,2,gemma-2-2b,0.522,0.75302196
2000,2,gemma-2-9b,0.607,0.80369985
2000,2,llama3.1-405b,0.6925,0.86454004
2000,2,llama3.3-70b,0.7305,0.8951777
2000,2,mistral-large,0.727,0.8936245
2000,2,qwen2.5-72b,0.6465,0.81915975
2000,3,Llama-3.1-8B,0.5775,0.78987664
2000,3,Llama-3.2-1B,0.3155,0.5695283
2000,3,Llama-3.2-3B,0.504,0.75076556
2000,3,Qwen2.5-0.5B,0.1595,0.39730597
2000,3,Qwen2.5-1.5B,0.341,0.5870188
2000,3,Qwen2.5-3B,0.492,0.7264944
2000,3,Qwen2.5-7B,0.6305,0.8221294
2000,3,deepseek-v3,0.775,0.91614777
2000,3,gemma-2-2b,0.5045,0.73623836
2000,3,gemma-2-9b,0.6115,0.7980159
2000,3,llama3.1-405b,0.703,0.86712444
2000,3,llama3.3-70b,0.729,0.8925865
2000,3,mistral-large,0.717,0.88813597
2000,3,qwen2.5-72b,0.629,0.80395937
2000,4,Llama-3.1-8B,0.5895,0.8020689
2000,4,Llama-3.2-1B,0.3045,0.56446534
2000,4,Llama-3.2-3B,0.5155,0.7535859
2000,4,Qwen2.5-0.5B,0.163,0.38682073
2000,4,Qwen2.5-1.5B,0.3225,0.567139
2000,4,Qwen2.5-3B,0.496,0.72744495
2000,4,Qwen2.5-7B,0.6065,0.80730826
2000,4,deepseek-v3,0.772,0.91512316
2000,4,gemma-2-2b,0.503,0.7368327
2000,4,gemma-2-9b,0.61,0.7987785
2000,4,llama3.1-405b,0.694,0.86232156
2000,4,llama3.3-70b,0.732,0.8914714
2000,4,mistral-large,0.7215,0.89192444
2000,4,qwen2.5-72b,0.643,0.80793107
2000,5,Llama-3.1-8B,0.6015,0.8139731
2000,5,Llama-3.2-1B,0.33,0.5865582
2000,5,Llama-3.2-3B,0.54,0.765906
2000,5,Qwen2.5-0.5B,0.169,0.39952114
2000,5,Qwen2.5-1.5B,0.335,0.5875887
2000,5,Qwen2.5-3B,0.521,0.75067765
2000,5,Qwen2.5-7B,0.6175,0.82001406
2000,5,deepseek-v3,0.7655,0.918625
2000,5,gemma-2-2b,0.529,0.7564259
2000,5,gemma-2-9b,0.618,0.8067801
2000,5,llama3.1-405b,0.702,0.870707
2000,5,llama3.3-70b,0.726,0.8928843
2000,5,mistral-large,0.738,0.89608335
2000,5,qwen2.5-72b,0.6485,0.8186864
2000,6,Llama-3.1-8B,0.5685,0.7918746
2000,6,Llama-3.2-1B,0.304,0.56395906
2000,6,Llama-3.2-3B,0.5045,0.740621
2000,6,Qwen2.5-0.5B,0.1565,0.38939047
2000,6,Qwen2.5-1.5B,0.323,0.57591975
2000,6,Qwen2.5-3B,0.504,0.7361149
2000,6,Qwen2.5-7B,0.615,0.81232196
2000,6,deepseek-v3,0.771,0.9192421
2000,6,gemma-2-2b,0.5145,0.73702127
2000,6,gemma-2-9b,0.6075,0.80009687
2000,6,llama3.1-405b,0.684,0.8614801
2000,6,llama3.3-70b,0.719,0.8878335
2000,6,mistral-large,0.7125,0.88693345
2000,6,qwen2.5-72b,0.6445,0.81387407
2000,7,Llama-3.1-8B,0.5675,0.79221064
2000,7,Llama-3.2-1B,0.3075,0.5720334
2000,7,Llama-3.2-3B,0.5075,0.74840283
2000,7,Qwen2.5-0.5B,0.155,0.39538288
2000,7,Qwen2.5-1.5B,0.335,0.5878365
2000,7,Qwen2.5-3B,0.494,0.7358845
2000,7,Qwen2.5-7B,0.6025,0.811767
2000,7,deepseek-v3,0.7585,0.91512036
2000,7,gemma-2-2b,0.499,0.7397303
2000,7,gemma-2-9b,0.5905,0.79714763
2000,7,llama3.1-405b,0.6885,0.863106
2000,7,llama3.3-70b,0.721,0.8928312
2000,7,mistral-large,0.709,0.8850648
2000,7,qwen2.5-72b,0.633,0.8083561
2000,8,Llama-3.1-8B,0.582,0.79724306
2000,8,Llama-3.2-1B,0.3105,0.5696399
2000,8,Llama-3.2-3B,0.5165,0.75374496
2000,8,Qwen2.5-0.5B,0.1505,0.3915929
2000,8,Qwen2.5-1.5B,0.3315,0.5749969
2000,8,Qwen2.5-3B,0.49,0.72909474
2000,8,Qwen2.5-7B,0.6145,0.8139884
2000,8,deepseek-v3,0.775,0.91986865
2000,8,gemma-2-2b,0.513,0.74951583
2000,8,gemma-2-9b,0.6125,0.80877185
2000,8,llama3.1-405b,0.6875,0.8632054
2000,8,llama3.3-70b,0.7265,0.89301735
2000,8,mistral-large,0.722,0.8934145
2000,8,qwen2.5-72b,0.637,0.81179464
2000,9,Llama-3.1-8B,0.5815,0.7990151
2000,9,Llama-3.2-1B,0.3265,0.58270687
2000,9,Llama-3.2-3B,0.514,0.75272465
2000,9,Qwen2.5-0.5B,0.175,0.41199043
2000,9,Qwen2.5-1.5B,0.344,0.5911956
2000,9,Qwen2.5-3B,0.5025,0.73719513
2000,9,Qwen2.5-7B,0.608,0.8117516
2000,9,deepseek-v3,0.7695,0.9168838
2000,9,gemma-2-2b,0.5055,0.7376869
2000,9,gemma-2-9b,0.6035,0.79855347
2000,9,llama3.1-405b,0.697,0.86347616
2000,9,llama3.3-70b,0.717,0.8837291
2000,9,mistral-large,0.717,0.8865191
2000,9,qwen2.5-72b,0.651,0.816869
2000,10,Llama-3.1-8B,0.6025,0.8117255
2000,10,Llama-3.2-1B,0.315,0.5797147
2000,10,Llama-3.2-3B,0.524,0.76087135
2000,10,Qwen2.5-0.5B,0.1655,0.40045977
2000,10,Qwen2.5-1.5B,0.3325,0.5848006
2000,10,Qwen2.5-3B,0.504,0.73766625
2000,10,Qwen2.5-7B,0.623,0.81915796
2000,10,deepseek-v3,0.781,0.9187501
2000,10,gemma-2-2b,0.532,0.75941384
2000,10,gemma-2-9b,0.6155,0.80613863
2000,10,llama3.1-405b,0.6935,0.86424905
2000,10,llama3.3-70b,0.7325,0.8926191
2000,10,mistral-large,0.735,0.89691716
2000,10,qwen2.5-72b,0.655,0.8178705
2000,11,Llama-3.1-8B,0.582,0.79928875
2000,11,Llama-3.2-1B,0.3165,0.5730933
2000,11,Llama-3.2-3B,0.5115,0.7464202
2000,11,Qwen2.5-0.5B,0.153,0.38891786
2000,11,Qwen2.5-1.5B,0.321,0.5779878
2000,11,Qwen2.5-3B,0.4985,0.73527026
2000,11,Qwen2.5-7B,0.616,0.81909096
2000,11,deepseek-v3,0.775,0.9185843
2000,11,gemma-2-2b,0.5055,0.7380662
2000,11,gemma-2-9b,0.6095,0.8058475
2000,11,llama3.1-405b,0.6975,0.86514986
2000,11,llama3.3-70b,0.725,0.89024305
2000,11,mistral-large,0.708,0.88749146
2000,11,qwen2.5-72b,0.6385,0.816323
2000,12,Llama-3.1-8B,0.586,0.8008671
2000,12,Llama-3.2-1B,0.328,0.5790637
2000,12,Llama-3.2-3B,0.522,0.7545706
2000,12,Qwen2.5-0.5B,0.1705,0.40485245
2000,12,Qwen2.5-1.5B,0.3405,0.58562684
2000,12,Qwen2.5-3B,0.504,0.7396721
2000,12,Qwen2.5-7B,0.61,0.81155
2000,12,deepseek-v3,0.768,0.91533595
2000,12,gemma-2-2b,0.5345,0.759685
2000,12,gemma-2-9b,0.6115,0.8100575
2000,12,llama3.1-405b,0.6975,0.8635017
2000,12,llama3.3-70b,0.7265,0.8888238
2000,12,mistral-large,0.726,0.89179873
2000,12,qwen2.5-72b,0.649,0.81676465
2000,13,Llama-3.1-8B,0.5905,0.8033904
2000,13,Llama-3.2-1B,0.3175,0.5720909
2000,13,Llama-3.2-3B,0.515,0.7485052
2000,13,Qwen2.5-0.5B,0.169,0.40628403
2000,13,Qwen2.5-1.5B,0.347,0.59142506
2000,13,Qwen2.5-3B,0.5145,0.74755764
2000,13,Qwen2.5-7B,0.62,0.81766963
2000,13,deepseek-v3,0.7785,0.9179469
2000,13,gemma-2-2b,0.51,0.7441335
2000,13,gemma-2-9b,0.6045,0.8024292
2000,13,llama3.1-405b,0.7005,0.86901015
2000,13,llama3.3-70b,0.7275,0.8894582
2000,13,mistral-large,0.723,0.89029837
2000,13,qwen2.5-72b,0.6485,0.8157279
2000,14,Llama-3.1-8B,0.5785,0.7973017
2000,14,Llama-3.2-1B,0.3125,0.57191336
2000,14,Llama-3.2-3B,0.514,0.7539749
2000,14,Qwen2.5-0.5B,0.1495,0.39385122
2000,14,Qwen2.5-1.5B,0.335,0.5873501
2000,14,Qwen2.5-3B,0.5,0.7383716
2000,14,Qwen2.5-7B,0.6135,0.8181688
2000,14,deepseek-v3,0.7705,0.9184974
2000,14,gemma-2-2b,0.518,0.7464227
2000,14,gemma-2-9b,0.6045,0.8102238
2000,14,llama3.1-405b,0.702,0.86779916
2000,14,llama3.3-70b,0.7225,0.8915796
2000,14,mistral-large,0.7195,0.88984925
2000,14,qwen2.5-72b,0.637,0.81483877
2000,15,Llama-3.1-8B,0.5815,0.7958287
2000,15,Llama-3.2-1B,0.3225,0.57336503
2000,15,Llama-3.2-3B,0.514,0.7457303
2000,15,Qwen2.5-0.5B,0.1655,0.4085569
2000,15,Qwen2.5-1.5B,0.3375,0.5821744
2000,15,Qwen2.5-3B,0.508,0.7358558
2000,15,Qwen2.5-7B,0.6095,0.81515825
2000,15,deepseek-v3,0.766,0.9158227
2000,15,gemma-2-2b,0.505,0.7350132
2000,15,gemma-2-9b,0.6005,0.79336655
2000,15,llama3.1-405b,0.6915,0.8606733
2000,15,llama3.3-70b,0.72,0.8893238
2000,15,mistral-large,0.719,0.8891149
2000,15,qwen2.5-72b,0.6405,0.80992055
2000,16,Llama-3.1-8B,0.6,0.8122468
2000,16,Llama-3.2-1B,0.3105,0.57562995
2000,16,Llama-3.2-3B,0.5305,0.76284933
2000,16,Qwen2.5-0.5B,0.1535,0.387934
2000,16,Qwen2.5-1.5B,0.329,0.58671844
2000,16,Qwen2.5-3B,0.501,0.7346642
2000,16,Qwen2.5-7B,0.6345,0.82738495
2000,16,deepseek-v3,0.7825,0.9222321
2000,16,gemma-2-2b,0.5155,0.7514391
2000,16,gemma-2-9b,0.6075,0.80765516
2000,16,llama3.1-405b,0.706,0.87202525
2000,16,llama3.3-70b,0.7285,0.8943437
2000,16,mistral-large,0.7195,0.8895273
2000,16,qwen2.5-72b,0.6685,0.82645285
2000,17,Llama-3.1-8B,0.586,0.80103546
2000,17,Llama-3.2-1B,0.319,0.5706487
2000,17,Llama-3.2-3B,0.5155,0.7551065
2000,17,Qwen2.5-0.5B,0.151,0.3898594
2000,17,Qwen2.5-1.5B,0.33,0.58245367
2000,17,Qwen2.5-3B,0.493,0.725133
2000,17,Qwen2.5-7B,0.6085,0.8141632
2000,17,deepseek-v3,0.766,0.9160249
2000,17,gemma-2-2b,0.5145,0.74433583
2000,17,gemma-2-9b,0.614,0.8103287
2000,17,llama3.1-405b,0.7005,0.8625848
2000,17,llama3.3-70b,0.719,0.8917471
2000,17,mistral-large,0.7185,0.89169943
2000,17,qwen2.5-72b,0.6485,0.8174153
2000,18,Llama-3.1-8B,0.588,0.8023953
2000,18,Llama-3.2-1B,0.316,0.57066125
2000,18,Llama-3.2-3B,0.512,0.75773454
2000,18,Qwen2.5-0.5B,0.1625,0.39434028
2000,18,Qwen2.5-1.5B,0.3355,0.58190507
2000,18,Qwen2.5-3B,0.4995,0.73752916
2000,18,Qwen2.5-7B,0.617,0.8186982
2000,18,deepseek-v3,0.7755,0.91989815
2000,18,gemma-2-2b,0.5185,0.74228895
2000,18,gemma-2-9b,0.6125,0.80096084
2000,18,llama3.1-405b,0.6935,0.86227155
2000,18,llama3.3-70b,0.7325,0.89410067
2000,18,mistral-large,0.7275,0.89248514
2000,18,qwen2.5-72b,0.6565,0.81556726
2000,19,Llama-3.1-8B,0.5965,0.8001226
2000,19,Llama-3.2-1B,0.325,0.581361
2000,19,Llama-3.2-3B,0.522,0.753984
2000,19,Qwen2.5-0.5B,0.147,0.38602874
2000,19,Qwen2.5-1.5B,0.3345,0.5948457
2000,19,Qwen2.5-3B,0.4965,0.7309738
2000,19,Qwen2.5-7B,0.6145,0.8173101
2000,19,deepseek-v3,0.7775,0.92129886
2000,19,gemma-2-2b,0.5065,0.7437982
2000,19,gemma-2-9b,0.6065,0.80784124
2000,19,llama3.1-405b,0.7005,0.86533165
2000,19,llama3.3-70b,0.728,0.8951974
2000,19,mistral-large,0.719,0.8873911
2000,19,qwen2.5-72b,0.64,0.8086744
2000,20,Llama-3.1-8B,0.611,0.81326264
2000,20,Llama-3.2-1B,0.3385,0.5885487
2000,20,Llama-3.2-3B,0.531,0.7653837
2000,20,Qwen2.5-0.5B,0.173,0.40909842
2000,20,Qwen2.5-1.5B,0.3405,0.58678836
2000,20,Qwen2.5-3B,0.514,0.7406168
2000,20,Qwen2.5-7B,0.6305,0.82161176
2000,20,deepseek-v3,0.78,0.92019415
2000,20,gemma-2-2b,0.521,0.7525161
2000,20,gemma-2-9b,0.609,0.8052867
2000,20,llama3.1-405b,0.7,0.8710026
2000,20,llama3.3-70b,0.7385,0.89770305
2000,20,mistral-large,0.723,0.89087856
2000,20,qwen2.5-72b,0.6475,0.81861484
2000,21,Llama-3.1-8B,0.576,0.7944459
2000,21,Llama-3.2-1B,0.3015,0.56263214
2000,21,Llama-3.2-3B,0.5145,0.75432354
2000,21,Qwen2.5-0.5B,0.1605,0.39266708
2000,21,Qwen2.5-1.5B,0.3325,0.58601683
2000,21,Qwen2.5-3B,0.492,0.728707
2000,21,Qwen2.5-7B,0.6045,0.8096282
2000,21,deepseek-v3,0.7645,0.9151783
2000,21,gemma-2-2b,0.501,0.7385654
2000,21,gemma-2-9b,0.6025,0.7992829
2000,21,llama3.1-405b,0.703,0.8680862
2000,21,llama3.3-70b,0.7225,0.8891939
2000,21,mistral-large,0.7135,0.88488954
2000,21,qwen2.5-72b,0.6395,0.80968595
2000,22,Llama-3.1-8B,0.5805,0.7974034
2000,22,Llama-3.2-1B,0.32,0.5797613
2000,22,Llama-3.2-3B,0.526,0.7626264
2000,22,Qwen2.5-0.5B,0.1655,0.40501803
2000,22,Qwen2.5-1.5B,0.3405,0.5887943
2000,22,Qwen2.5-3B,0.4985,0.7389402
2000,22,Qwen2.5-7B,0.625,0.8245935
2000,22,deepseek-v3,0.7705,0.9171499
2000,22,gemma-2-2b,0.509,0.7483985
2000,22,gemma-2-9b,0.614,0.80776376
2000,22,llama3.1-405b,0.705,0.8726027
2000,22,llama3.3-70b,0.726,0.8941373
2000,22,mistral-large,0.7095,0.88744515
2000,22,qwen2.5-72b,0.6445,0.8193139
2000,23,Llama-3.1-8B,0.5845,0.79916924
2000,23,Llama-3.2-1B,0.3175,0.5704972
2000,23,Llama-3.2-3B,0.528,0.7567055
2000,23,Qwen2.5-0.5B,0.168,0.39689982
2000,23,Qwen2.5-1.5B,0.3325,0.57859474
2000,23,Qwen2.5-3B,0.5075,0.73374736
2000,23,Qwen2.5-7B,0.6335,0.82089764
2000,23,deepseek-v3,0.7815,0.9211423
2000,23,gemma-2-2b,0.5245,0.7499844
2000,23,gemma-2-9b,0.6105,0.80344623
2000,23,llama3.1-405b,0.686,0.8596427
2000,23,llama3.3-70b,0.726,0.8905605
2000,23,mistral-large,0.73,0.8918484
2000,23,qwen2.5-72b,0.653,0.81107736
2000,24,Llama-3.1-8B,0.579,0.79222834
2000,24,Llama-3.2-1B,0.3015,0.5539553
2000,24,Llama-3.2-3B,0.4965,0.73489594
2000,24,Qwen2.5-0.5B,0.144,0.38267413
2000,24,Qwen2.5-1.5B,0.332,0.5755322
2000,24,Qwen2.5-3B,0.495,0.7269337
2000,24,Qwen2.5-7B,0.6065,0.813748
2000,24,deepseek-v3,0.7685,0.9164412
2000,24,gemma-2-2b,0.4935,0.73189616
2000,24,gemma-2-9b,0.6015,0.79909277
2000,24,llama3.1-405b,0.6915,0.85900146
2000,24,llama3.3-70b,0.7295,0.8896864
2000,24,mistral-large,0.7125,0.8845257
2000,24,qwen2.5-72b,0.6485,0.8206156
2000,25,Llama-3.1-8B,0.576,0.79285276
2000,25,Llama-3.2-1B,0.3115,0.5703813
2000,25,Llama-3.2-3B,0.502,0.74261135
2000,25,Qwen2.5-0.5B,0.1725,0.4028586
2000,25,Qwen2.5-1.5B,0.33,0.5860019
2000,25,Qwen2.5-3B,0.488,0.7249515
2000,25,Qwen2.5-7B,0.6085,0.8141158
2000,25,deepseek-v3,0.7605,0.91118896
2000,25,gemma-2-2b,0.4945,0.7362889
2000,25,gemma-2-9b,0.5955,0.7937755
2000,25,llama3.1-405b,0.6665,0.8492922
2000,25,llama3.3-70b,0.7025,0.8838474
2000,25,mistral-large,0.707,0.8838413
2000,25,qwen2.5-72b,0.631,0.8054743
2000,26,Llama-3.1-8B,0.5885,0.7934983
2000,26,Llama-3.2-1B,0.3265,0.57700104
2000,26,Llama-3.2-3B,0.5265,0.75425524
2000,26,Qwen2.5-0.5B,0.165,0.40496013
2000,26,Qwen2.5-1.5B,0.342,0.5831811
2000,26,Qwen2.5-3B,0.509,0.73461866
2000,26,Qwen2.5-7B,0.6195,0.81743616
2000,26,deepseek-v3,0.783,0.9187706
2000,26,gemma-2-2b,0.5235,0.7493719
2000,26,gemma-2-9b,0.617,0.8081086
2000,26,llama3.1-405b,0.7,0.86560935
2000,26,llama3.3-70b,0.7305,0.89152443
2000,26,mistral-large,0.7235,0.8901931
2000,26,qwen2.5-72b,0.653,0.81414205
2000,27,Llama-3.1-8B,0.573,0.7901583
2000,27,Llama-3.2-1B,0.314,0.5757885
2000,27,Llama-3.2-3B,0.5135,0.75488293
2000,27,Qwen2.5-0.5B,0.152,0.38878703
2000,27,Qwen2.5-1.5B,0.329,0.5836821
2000,27,Qwen2.5-3B,0.494,0.732903
2000,27,Qwen2.5-7B,0.5995,0.8118083
2000,27,deepseek-v3,0.765,0.9176366
2000,27,gemma-2-2b,0.5045,0.7343916
2000,27,gemma-2-9b,0.5955,0.7950502
2000,27,llama3.1-405b,0.689,0.86595833
2000,27,llama3.3-70b,0.7195,0.88987994
2000,27,mistral-large,0.712,0.8836559
2000,27,qwen2.5-72b,0.632,0.8081144
2000,28,Llama-3.1-8B,0.5825,0.8010392
2000,28,Llama-3.2-1B,0.3085,0.56500727
2000,28,Llama-3.2-3B,0.51,0.7513847
2000,28,Qwen2.5-0.5B,0.1685,0.40145448
2000,28,Qwen2.5-1.5B,0.3375,0.5908952
2000,28,Qwen2.5-3B,0.5015,0.7428158
2000,28,Qwen2.5-7B,0.607,0.8178451
2000,28,deepseek-v3,0.767,0.91626656
2000,28,gemma-2-2b,0.4915,0.7377222
2000,28,gemma-2-9b,0.5975,0.8015916
2000,28,llama3.1-405b,0.6925,0.8620678
2000,28,llama3.3-70b,0.727,0.8931122
2000,28,mistral-large,0.712,0.8898064
2000,28,qwen2.5-72b,0.6485,0.8190191
2000,29,Llama-3.1-8B,0.5845,0.7985739
2000,29,Llama-3.2-1B,0.315,0.56818247
2000,29,Llama-3.2-3B,0.523,0.7505693
2000,29,Qwen2.5-0.5B,0.1565,0.39180428
2000,29,Qwen2.5-1.5B,0.3155,0.5737883
2000,29,Qwen2.5-3B,0.5005,0.7321559
2000,29,Qwen2.5-7B,0.62,0.81894785
2000,29,deepseek-v3,0.7775,0.9185645
2000,29,gemma-2-2b,0.5095,0.7348514
2000,29,gemma-2-9b,0.6025,0.794329
2000,29,llama3.1-405b,0.699,0.86382127
2000,29,llama3.3-70b,0.7245,0.89398295
2000,29,mistral-large,0.72,0.89194643
2000,29,qwen2.5-72b,0.6465,0.81373703
2000,30,Llama-3.1-8B,0.592,0.80439705
2000,30,Llama-3.2-1B,0.3095,0.5717352
2000,30,Llama-3.2-3B,0.506,0.7487372
2000,30,Qwen2.5-0.5B,0.1685,0.40465307
2000,30,Qwen2.5-1.5B,0.3305,0.5764184
2000,30,Qwen2.5-3B,0.498,0.7312195
2000,30,Qwen2.5-7B,0.609,0.8135045
2000,30,deepseek-v3,0.7685,0.9172131
2000,30,gemma-2-2b,0.5065,0.7418944
2000,30,gemma-2-9b,0.603,0.8069439
2000,30,llama3.1-405b,0.693,0.86849993
2000,30,llama3.3-70b,0.7205,0.89047617
2000,30,mistral-large,0.715,0.8910445
2000,30,qwen2.5-72b,0.6475,0.81708103
2000,31,Llama-3.1-8B,0.584,0.7966162
2000,31,Llama-3.2-1B,0.3325,0.58211404
2000,31,Llama-3.2-3B,0.5235,0.7591538
2000,31,Qwen2.5-0.5B,0.166,0.39744174
2000,31,Qwen2.5-1.5B,0.336,0.58492786
2000,31,Qwen2.5-3B,0.512,0.7418427
2000,31,Qwen2.5-7B,0.6155,0.818266
2000,31,deepseek-v3,0.7685,0.912913
2000,31,gemma-2-2b,0.5185,0.7510079
2000,31,gemma-2-9b,0.608,0.80561614
2000,31,llama3.1-405b,0.699,0.8640491
2000,31,llama3.3-70b,0.7295,0.8909559
2000,31,mistral-large,0.7145,0.8854907
2000,31,qwen2.5-72b,0.6555,0.8184629
2000,32,Llama-3.1-8B,0.5815,0.801335
2000,32,Llama-3.2-1B,0.3125,0.57442445
2000,32,Llama-3.2-3B,0.499,0.74638647
2000,32,Qwen2.5-0.5B,0.1595,0.3970892
2000,32,Qwen2.5-1.5B,0.321,0.5793472
2000,32,Qwen2.5-3B,0.4905,0.73120403
2000,32,Qwen2.5-7B,0.61,0.8177346
2000,32,deepseek-v3,0.7615,0.91428655
2000,32,gemma-2-2b,0.5055,0.7416141
2000,32,gemma-2-9b,0.609,0.8062183
2000,32,llama3.1-405b,0.6895,0.8659587
2000,32,llama3.3-70b,0.719,0.88931316
2000,32,mistral-large,0.704,0.88501084
2000,32,qwen2.5-72b,0.645,0.8210188
2000,33,Llama-3.1-8B,0.5825,0.79637116
2000,33,Llama-3.2-1B,0.3015,0.56579375
2000,33,Llama-3.2-3B,0.515,0.75719583
2000,33,Qwen2.5-0.5B,0.1495,0.3958562
2000,33,Qwen2.5-1.5B,0.324,0.5868434
2000,33,Qwen2.5-3B,0.496,0.7364409
2000,33,Qwen2.5-7B,0.6195,0.8264878
2000,33,deepseek-v3,0.7665,0.9145682
2000,33,gemma-2-2b,0.5035,0.74247706
2000,33,gemma-2-9b,0.6055,0.8039591
2000,33,llama3.1-405b,0.6905,0.8606986
2000,33,llama3.3-70b,0.714,0.88821137
2000,33,mistral-large,0.722,0.891041
2000,33,qwen2.5-72b,0.6305,0.8119314
2000,34,Llama-3.1-8B,0.591,0.8027572
2000,34,Llama-3.2-1B,0.3195,0.57169956
2000,34,Llama-3.2-3B,0.523,0.75936437
2000,34,Qwen2.5-0.5B,0.1545,0.38896757
2000,34,Qwen2.5-1.5B,0.3295,0.58205426
2000,34,Qwen2.5-3B,0.5005,0.73024726
2000,34,Qwen2.5-7B,0.625,0.8169389
2000,34,deepseek-v3,0.776,0.9170808
2000,34,gemma-2-2b,0.5205,0.7474911
2000,34,gemma-2-9b,0.614,0.80618966
2000,34,llama3.1-405b,0.71,0.8694641
2000,34,llama3.3-70b,0.7415,0.89691645
2000,34,mistral-large,0.729,0.8922654
2000,34,qwen2.5-72b,0.646,0.8122247
2000,35,Llama-3.1-8B,0.5935,0.8011051
2000,35,Llama-3.2-1B,0.316,0.57919574
2000,35,Llama-3.2-3B,0.524,0.7529477
2000,35,Qwen2.5-0.5B,0.147,0.3938469
2000,35,Qwen2.5-1.5B,0.3295,0.58273
2000,35,Qwen2.5-3B,0.5,0.7379581
2000,35,Qwen2.5-7B,0.6205,0.81667423
2000,35,deepseek-v3,0.7795,0.9178908
2000,35,gemma-2-2b,0.519,0.7438684
2000,35,gemma-2-9b,0.602,0.79541403
2000,35,llama3.1-405b,0.71,0.8694159
2000,35,llama3.3-70b,0.7365,0.89369917
2000,35,mistral-large,0.729,0.89250237
2000,35,qwen2.5-72b,0.6435,0.81107116
2000,36,Llama-3.1-8B,0.5905,0.8032976
2000,36,Llama-3.2-1B,0.3185,0.5766756
2000,36,Llama-3.2-3B,0.518,0.75543344
2000,36,Qwen2.5-0.5B,0.1665,0.4029191
2000,36,Qwen2.5-1.5B,0.337,0.58398205
2000,36,Qwen2.5-3B,0.502,0.73293096
2000,36,Qwen2.5-7B,0.613,0.8106216
2000,36,deepseek-v3,0.768,0.9132405
2000,36,gemma-2-2b,0.5055,0.7388924
2000,36,gemma-2-9b,0.6085,0.800704
2000,36,llama3.1-405b,0.7015,0.86983746
2000,36,llama3.3-70b,0.729,0.8919095
2000,36,mistral-large,0.706,0.8826896
2000,36,qwen2.5-72b,0.6355,0.8083752
2000,37,Llama-3.1-8B,0.5585,0.7890731
2000,37,Llama-3.2-1B,0.31,0.5576489
2000,37,Llama-3.2-3B,0.4965,0.7392677
2000,37,Qwen2.5-0.5B,0.1485,0.39186385
2000,37,Qwen2.5-1.5B,0.3385,0.58888906
2000,37,Qwen2.5-3B,0.4865,0.72508967
2000,37,Qwen2.5-7B,0.593,0.8039625
2000,37,deepseek-v3,0.7585,0.91190875
2000,37,gemma-2-2b,0.4815,0.7308726
2000,37,gemma-2-9b,0.596,0.79736304
2000,37,llama3.1-405b,0.6805,0.8587661
2000,37,llama3.3-70b,0.711,0.88700676
2000,37,mistral-large,0.7,0.8848942
2000,37,qwen2.5-72b,0.629,0.80820376
2000,38,Llama-3.1-8B,0.5795,0.7934161
2000,38,Llama-3.2-1B,0.315,0.57321346
2000,38,Llama-3.2-3B,0.508,0.7493232
2000,38,Qwen2.5-0.5B,0.169,0.40723634
2000,38,Qwen2.5-1.5B,0.3395,0.585139
2000,38,Qwen2.5-3B,0.4835,0.7316699
2000,38,Qwen2.5-7B,0.621,0.821944
2000,38,deepseek-v3,0.7575,0.9125107
2000,38,gemma-2-2b,0.4975,0.7365093
2000,38,gemma-2-9b,0.598,0.79891574
2000,38,llama3.1-405b,0.68,0.858141
2000,38,llama3.3-70b,0.703,0.8845869
2000,38,mistral-large,0.703,0.88316077
2000,38,qwen2.5-72b,0.637,0.810584
2000,39,Llama-3.1-8B,0.5825,0.8018858
2000,39,Llama-3.2-1B,0.3175,0.5721984
2000,39,Llama-3.2-3B,0.524,0.7553954
2000,39,Qwen2.5-0.5B,0.1655,0.39647645
2000,39,Qwen2.5-1.5B,0.3345,0.5855799
2000,39,Qwen2.5-3B,0.489,0.7285715
2000,39,Qwen2.5-7B,0.602,0.80830395
2000,39,deepseek-v3,0.7805,0.9224677
2000,39,gemma-2-2b,0.508,0.74818057
2000,39,gemma-2-9b,0.6115,0.8122627
2000,39,llama3.1-405b,0.702,0.87115127
2000,39,llama3.3-70b,0.7145,0.88755727
2000,39,mistral-large,0.7175,0.88972473
2000,39,qwen2.5-72b,0.634,0.8089265
2000,40,Llama-3.1-8B,0.5855,0.7987479
2000,40,Llama-3.2-1B,0.3005,0.56115484
